"Intensity","ProteinGroup","external_gene_name","description"
469.463287353516,"A0A075B6L2","TRGV11","T cell receptor gamma variable 11 (non-functional) [Source:HGNC Symbol;Acc:HGNC:12286]"
895.656982421875,"A0A075B6N1","TRBV19","T cell receptor beta variable 19 [Source:HGNC Symbol;Acc:HGNC:12194]"
697.566955566406,"A0A075B6S4_REVERSED",NA,NA
697.566955566406,"A0A075B6S4","IGKV1D-17","immunoglobulin kappa variable 1D-17 [Source:HGNC Symbol;Acc:HGNC:5749]"
589.517822265625,"A0A075B767_REVERSED",NA,NA
835.629699707031,"A0A087WXM9_REVERSED",NA,NA
853.637878417969,"A0A087WXM9","MEIKIN","meiotic kinetochore factor [Source:HGNC Symbol;Acc:HGNC:51253]"
643.542419433594,"A0A087X0K7_REVERSED",NA,NA
577.512390136719,"A0A087X0K7","TRBV17","T cell receptor beta variable 17 (non-functional) [Source:HGNC Symbol;Acc:HGNC:12192]"
625.534240722656,"A0A096LP49_REVERSED",NA,NA
673.556030273438,"A0A0A0MS06_REVERSED",NA,NA
673.556030273438,"A0A0A0MS06","TRBV23-1","T cell receptor beta variable 23-1 (non-functional) [Source:HGNC Symbol;Acc:HGNC:12201]"
595.520584106445,"A0A0A0MS14_REVERSED",NA,NA
445.452362060547,"A0A0A0MS14","IGHV1-45","immunoglobulin heavy variable 1-45 [Source:HGNC Symbol;Acc:HGNC:5553]"
709.572448730469,"A0A0A6YYC5","TRAV14DV4","T cell receptor alpha variable 14/delta variable 4 [Source:HGNC Symbol;Acc:HGNC:12110]"
895.656982421875,"A0A0A6YYD4_REVERSED",NA,NA
823.624267578125,"A0A0A6YYG3_REVERSED",NA,NA
565.506927490234,"A0A0A6YYK6_REVERSED",NA,NA
673.556030273438,"A0A0A6YYK6","TRAV16","T cell receptor alpha variable 16 [Source:HGNC Symbol;Acc:HGNC:12112]"
769.599670410156,"A0A0B4J1V0","IGHV3-15","immunoglobulin heavy variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5582]"
547.498779296875,"A0A0B4J1V1_REVERSED",NA,NA
547.498779296875,"A0A0B4J1V1","IGHV3-21","immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5586]"
739.586059570312,"A0A0B4J1V2_REVERSED",NA,NA
475.466003417969,"A0A0B4J237_REVERSED",NA,NA
817.621520996094,"A0A0C4DH28_REVERSED",NA,NA
667.553344726562,"A0A0C4DH32","IGHV3-20","immunoglobulin heavy variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5585]"
568.50830078125,"A0A0C4DH33_REVERSED",NA,NA
568.50830078125,"A0A0C4DH33","IGHV1-24","immunoglobulin heavy variable 1-24 [Source:HGNC Symbol;Acc:HGNC:5551]"
421.441436767578,"A0A0J9YWL9_REVERSED",NA,NA
421.441436767578,"A0A0J9YWL9","TEX13C","TEX13 family member C [Source:HGNC Symbol;Acc:HGNC:52277]"
553.50146484375,"A0A0J9YX35_REVERSED",NA,NA
